Sample Name,Baseline _Nasal_Total_Retinal_Thickness_millimeter,Baseline _Nasal_Choroidal_Thickness_millimeter,End_of_Hindlimb_Unloading_Nasal_Total_Retinal_Thickness_millimeter,End_of_Hindlimb_Unloading_Nasal_Choroidal_Thickness_millimeter,End_of_Recovery_Nasal_Total_Retinal_Thickness_millimeter,End_of_Recovery_Nasal_Choroidal_Thickness_millimeter,Baseline _Temporal_Total_Retinal_Thickness_millimeter,Baseline _Temporal_Choroidal_Thickness_millimeter,End_of_Hindlimb_Unloading_Temporal_Total_Retinal_Thickness_millimeter,End_of_Hindlimb_Unloading_Temporal_Choroidal_Thickness_millimeter,End_of_Recovery_Temporal_Total_Retinal_Thickness_millimeter,End_of_Recovery_Temporal_Choroidal_Thickness_millimeter,Baseline _Linear_Total_Retinal_Thickness_millimeter,Baseline _Linear_Choroidal_Thickness_millimeter,End_of_Hindlimb_Unloading_Linear_Total_Retinal_Thickness_millimeter,End_of_Hindlimb_Unloading_Linear_Choroidal_Thickness_millimeter,End_of_Recovery_Linear_Total_Retinal_Thickness_millimeter,End_of_Recovery_Linear_Choroidal_Thickness_millimeter,,,,,
MT305_OD,0.185,0.052,,,,,0.176,0.055,,,,,0.179,0.056,,,,,,,,,
MT306_OD,0.194,0.059,,,,,0.189,0.059,,,,,0.185,0.061,,,,,,,,,
MT307_OD,0.194,0.053,,,,,0.192,0.057,,,,,0.175,0.052,,,,,,,,,
MT308_OD,0.204,0.04,,,,,0.194,0.043,,,,,0.198,0.049,,,,,,,,,
MT309_OD,0.198,0.055,,,,,0.194,0.053,,,,,0.195,0.059,,,,,,,,,
MT310_OD,0.198,0.047,,,,,0.194,0.047,,,,,0.186,0.056,,,,,,,,,
MT305_OS,0.182,0.056,,,,,0.185,0.067,,,,,0.18,0.056,,,,,,,,,
MT306_OS,0.204,0.059,,,,,0.203,0.053,,,,,0.204,0.061,,,,,,,,,
MT307_OS,0.204,0.046,,,,,0.197,0.048,,,,,0.198,0.055,,,,,,,,,
MT308_OS,0.192,0.043,,,,,0.201,0.047,,,,,0.194,0.053,,,,,,,,,
MT309_OS,0.189,0.064,,,,,0.198,0.061,,,,,0.2,0.052,,,,,,,,,
MT310_OS,0.197,0.044,,,,,0.207,0.058,,,,,0.198,0.053,,,,,,,,,
MT51_OD,0.231,0.054,0.228,0.052,,,0.226,0.053,0.226,0.051,,,0.201,0.063,0.209,0.056,,,,,,,
MT56_OD,0.235,0.05,0.241,0.059,,,0.228,0.054,0.23,0.56,,,0.23,0.56,0.231,0.054,,,,,,,
MT59_OD,0.214,0.043,0.211,0.045,,,0.21,0.043,0.212,0.046,,,0.215,0.052,0.194,0.049,,,,,,,
MT51_OS,0.219,0.068,0.22,0.06,,,0.214,0.064,0.227,0.058,,,0.193,0.069,0.208,0.061,,,,,,,
MT56_OS,0.233,0.046,0.224,0.053,,,0.23,0.059,0.217,0.053,,,0.228,0.055,0.216,0.055,,,,,,,
MT59_OS,0.213,0.043,0.206,0.043,,,0.204,0.053,0.204,0.048,,,0.214,0.053,0.207,0.046,,,,,,,
MT66_OD,0.213,0.053,0.21,0.056,,,0.209,0.051,0.207,0.05,,,0.204,0.052,0.208,0.055,,,,,,,
MT70_OD,0.2,0.042,0.133,0.049,,,0.19,0.042,0.153,0.033,,,0.199,0.049,0.106,0.047,,,,,,,
MT76_OD,0.21,0.043,0.199,0.047,,,0.214,0.049,0.21,0.044,,,0.214,0.051,0.204,0.054,,,,,,,
MT74_OD,0.215,0.045,0.209,0.05,,,0.211,0.047,0.204,0.042,,,0.209,0.052,0.203,0.051,,,,,,,
MT78_OD,0.204,0.034,0.191,0.054,,,0.203,0.039,0.192,0.047,,,0.205,0.052,0.179,0.048,,,,,,,
MT80_OD,0.222,0.053,0.2,0.048,,,0.21,0.048,0.202,0.046,,,0.211,0.063,0.2,0.049,,,,,,,
MT66_OS,0.209,0.042,0.2,0.043,,,0.214,0.046,0.21,0.048,,,0.217,0.056,0.219,0.055,,,,,,,
MT70_OS,0.214,0.044,0.208,0.042,,,0.2,0.048,0.209,0.049,,,0.197,0.05,0.163,0.046,,,,,,,
MT76_OS,,,0.199,0.046,,,0.213,0.05,0.201,0.05,,,0.213,0.046,0.197,0.053,,,,,,,
MT74_OS,0.213,0.045,0.196,0.044,,,0.217,0.049,0.204,0.041,,,0.218,0.056,0.21,0.052,,,,,,,
MT78_OS,0.188,0.042,,,,,0.188,0.042,,,,,0.184,0.045,0.184,0.048,,,,,,,
MT80_OS,0.207,0.049,0.198,0.047,,,0.215,0.048,0.197,0.044,,,0.211,0.058,0.199,0.063,,,,,,,
MT65_OD,0.216,0.049,,,,,0.21,0.049,,,,,0.212,0.051,,,,,,,,,
MT68_OD,0.22,0.053,0.213,0.04,,,0.22,0.05,0.205,0.043,,,0.211,0.052,0.204,0.049,,,,,,,
MT71_OD,0.218,0.05,0.214,0.044,,,0.209,0.048,0.212,0.043,,,0.214,0.049,0.209,0.046,,,,,,,
MT73_OD,0.195,0.048,0.196,0.043,,,0.191,0.047,0.19,0.04,,,0.19,0.051,0.19,0.043,,,,,,,
MT75_OD,0.209,0.046,0.205,0.045,,,0.21,0.044,0.196,0.046,,,0.208,0.047,0.205,0.05,,,,,,,
MT79_OD,0.212,0.048,0.202,0.048,,,0.205,0.046,0.225,0.043,,,0.212,0.054,0.19,0.05,,,,,,,
MT82_OD,0.218,0.049,0.209,0.046,,,0.219,0.054,0.208,0.04,,,0.214,0.045,0.213,0.042,,,,,,,
MT65_OS,0.212,0.05,,,,,0.215,0.051,,,,,0.214,0.056,,,,,,,,,
MT68_OS,0.214,0.039,0.203,0.047,,,0.216,0.052,0.209,0.046,,,0.213,0.054,0.209,0.048,,,,,,,
MT71_OS,0.202,0.049,0.202,0.04,,,0.217,0.049,0.215,0.04,,,0.21,0.058,0.206,0.045,,,,,,,
MT73_OS,0.198,0.042,0.193,0.04,,,0.2,0.043,0.196,0.044,,,0.199,0.042,0.197,0.046,,,,,,,
